HolderAddress,Balance,PendingBalanceUpdate
0x4a13ab03cf206f66a4b82bc9fecea7ca06df12f0,63.72696871,No
0x4abd7202eff452ff57f415c0475a0654b8380ed2,6.00E-18,No
0x4b79fc3f8a9f7c0267593485598e82538a5f98a7,5.33E-09,No
0x4f3a17060f14a28a1b706be652879d9aea4a83c2,3.606937827,No
0x5122b4d90185958faa110a3a02b647c755b977fd,3.69,No
0x526d3193288f0a7befc432cc2de2bbae942dd010,1,No
0x52fae5db0ad175d90ffbfa67af04b52bc86d10fa,12.17661813,No
0x562680a4dc50ed2f14d75bf31f494cfe0b8d10a1,75.73263723,No
0x5640d42231ca8eecf035b25578fa51240789628d,2.18E-09,No
0x573aaafce41839cef3e6d5b9ad727db44bce8ba9,172.6509654,No
0x581badd49b09cbabb59a12a1f1e8383bc3b75a08,22,No
0x5c98af8f2000629cd788e86dd417bc918a1ee9e4,33.86949304,No
0x5e6d8e0cb991f2ea78854397138b9cb9ffeb302a,33.86393823,No
0x5e745aace240dffa2358c2b47f3eff4a3a85e12b,6,No
0x5ea073c5f546e0012f8840224266718404e48ee5,10,No
0x5efc2ce23ee98b3dfb7b944823fac649044a1dd4,20.66530552,No
0x61adbe421319337762347f24f54c02509b3c4300,47.76349993,No
0x625f9393c78dd0efe8495fb4a7f336eee69ce6fb,46.1747,No
0x63a4418fb69a444db3e92e74b2ae06cb25a51eb3,100,No
0x64abcef4cd2f895309042af449a80046eff0f0ce,10.12586862,No
0x65fd29c9a871422a027dbe97decc8e40db5bf483,38.80230586,No
0x66b1de0f14a0ce971f7f248415063d44caf19398,99.9,No
0x682668912cb71471b87733e95a6d51af2d3b1da8,14.92872616,No
0x68c5c82210ae0932e050c1200faceabb24145e73,20,No
0x68d36dcbdd7bbf206e27134f28103abe7cf972df,569.7694811,No
0x6a4182ca87ecf5980a4a02c0e6a2a2ca81e87c25,117.3652506,No
0x6b008e74f2cfc661babba620e319b4778216a8fa,38.69120234,No
0x6dc43be93a8b5fd37dc16f24872babc6da5e5e3e,959,No
0x6e4c2bd523515d4ea05a565a695850d61dff9c9b,0.86803907,No
0x701b948a7a1349938afe905b7e779b61c838f83e,6,No
0x7205a9cbf9caa5399dc36d23cb6a0be54fb1ec12,1.9093166,No
0x73f2ad6e8abf975b9b4999d973e08e1353e87481,53.08673987,No
0x74fb529036cb96654e3cf4c18096e7189ac63b3b,74.73297003,No
0x774232dac7089799dd48e35757d6387964c58c3c,3.828057368,No
0x77ae5abaa04097fcb1af6fe7b9b608d48e2a5582,12.54973987,No
0x78f19d646635c757efeb3abd5d99416b3cce8856,64.11271734,No
0x798cb5a7587eccc4df506554ae260a49c89a6743,50.50449432,No
0x7a1665e4a4d25696b0fa7870837c82538812d09a,7.88E-05,No
0x7ac712ec4c58ded138cc4e63e0fd59f697cc6963,25076.13651,No
0x7b0b35b416631f05f321fe74990817dca81cabde,1.00E-08,No
0x7d1589685f02502e628e60394d21aaf835ee25ee,17.94703243,No
0x7d4053510c0e2ce0f127cf890fdb84f1a36cdc6d,10.1,No
0x7e3b0829476b32578a5d5fcebc7c2591b2e43758,50.09381596,No
0x7eb3892dfc4529b81a9b10d07f46d9278bbcb35c,57.94661087,No
0x8012b593917f74dd8c5233fd509b9a02d1bc7079,30.87007086,No
0x82d751c236cb6c682a54196ef6fc01021a101a1b,11.20489049,No
0x8450dc9630511500be6bc9c44f928444b3919231,3.017542585,No
0x86505baa2ffac3444fbb9a53c6c75833d088c6c6,0.10371088,No
0x88ad09518695c6c3712ac10a214be5109a655671,963365.5831,No
0x8b6f82d834e49cbeff2e7ff1b798c3124a68be04,0.01364145,No
0x8bbd6dece4191b5d1257676697ea7938e0c19362,0.003,No
0x8c329a46818a67284eea44ab008d8d83aeb92669,30.20616284,No
0x90eb355a85ea5324529224945bb55f1960da1b47,39.50809652,No
0x9214dd04842c5c7b83ee819842506c07e5f618d2,8.370622393,No
0x9245c7cd5d8470086582870dcf910feccea0ce18,14.99567275,No
0x938e50bf3826afee55a6719d5f160e646df8b7da,0.001606592,No
0x93fa26253abbfb21a7f2749a81bb25a7e5f95ba1,132.6436726,No
0x955f490aad6abed0f6f485c4415a46f9e35d845a,9.00E-08,No
0x966b84ac0ce49972b6fe0f8ccd87911ca3c2e9ae,9.081842156,No
0x96b0425c29ab7664d80c4754b681f5907172ec7c,69.99993,No
0x9815e07054d35d7b620661fcfcfe36f7c1bc0a2b,9,No
0x98349abd572f4272d96eb99950fd113a820c196e,5,No
0x9a376c8e244cdbb07eb7856da3cac7f5794b58fa,25,No
0x9b994d79e201a5f223b34d1538c857d0d151442e,10.63168239,No
0x9c3389d5c30b429abc2ba4e32c402300a067a6fc,0.003,No
0xa009432dea1437582ea5fce55e2993761c417a67,90,No
0xa055a728b318934a7888471756955c6d16b01b3c,25.65849726,No
0xa2762c04ba36894a11cfd2b9e93f00af2ffe6d97,0.00055522,No
0xa3472b955ad3562a75614c5c23ea1aecc8c9b77a,29.53977633,No
0xa3564677fc4907a15c9a7eae1dbc1ae9ac57b8e1,59.89,No
0xa935433de1e70538269c417a01543b3da8478a48,8.523365524,No
0xabf5946c6d4b748979f8688242cdac00d9cb0376,27.53014421,No
0xac04fa6c41580f24687cce310ea9529e87237658,28.8545438,No
0xac67448cc410e706a5652585f48af8d3b02eef73,2055.811613,No
0xac7e32eb5cec7eb7b6b43a305b64d1d3487b97a0,1.00E-18,No
0xadd922c4966514fb6c10405441fe690ece5f804f,30.66511131,No
0xafabcdc2be58de2203b42d06ab7a956d47fecfb2,0.14115689,No
0xb13ca54b853a13717fcf45d34038b785f597f34d,20.4,No
0xb1830696cf1504db081f93238cd25c855a62e0fc,21.72726035,No
0xb2d60143097b4f992bfbe955a22dbb2acd9a8eab,25,No
0xb5000e64eed60bb8cfd2fe6f04520afa201537c7,14.4300104,No
0xb7c21c7112fbee258df6903d259c03ccaaa6bc7f,17.30062464,No
0xb7dd8d8c55c180da714a32db1c93c43624033d59,52.18233514,No
0xb8739981439216565b7646923b2d88b0bf573d1f,25.89693449,No
0xbacee0c153a728e80d961cfb09b596db4bfeba9b,3.248040347,No
0xbbf31959f48a2e21568a05efa294963161e0b02c,5.78704716,No
0xbc1affe4c2071e6bc08110780e223e031bf66ed3,7.080844824,No
0xbccac73bbef1b00373b522383cf8246e7c42ccbf,20.425893,No
0xbd1f7d88c76a86c60d41bddd4819fae404e7151e,9.678688162,No
0xbd2e9456bf98e9a648cad5dc57cdb441d06e6068,3.222076763,No
0xc36e5bf64d4957e04cf33a8d3e45e64ade105100,6.710650708,No
0xc58d5e3e19a62fcb14ac393661d3a6b870a49ec7,18.34332962,No
