"HolderAddress","Balance","PendingBalanceUpdate"
"0x6e28baa6d9716ecc7731f24f3f1db2e55ee3ef26","9.3223692359044E-05","No"
"0x6f454fa5c8c9dc56209f6f5d4c7df32c735c4946","100","No"
"0x7022935898acaa21e52ea5c9b4cda7fb1419db98","6.00392948750406","No"
"0x70e983a8303f73cd7af87e91d528b7074dfade6e","5.5909064681715E-05","No"
"0x7564c8c5e022b3f3443776bbc208257a7df9d76b","422.761851925405","No"
"0x76d461668756721eac960a185f7a730cd9dc23c0","4.735142268078E-06","No"
"0x78bdf37181e65f8b253a362dc5385fd23959c262","3.2837413198945E-05","No"
"0x7b0c55b1706a2839a9f9c95d094f7826e9a00eed","1300","No"
"0x7b3c50b87b37aa8fd1eafbf2c66794a427bfc4dd","9.21224727242016","No"
"0x7b6c50558f9204056c484074879a8e60cbeb9829","3.7332989757932E-05","No"
"0x8e5a963a7de6a7103ee64c83e4e364406eb9cbfa","1.550913986E-09","No"
"0x8ff1bb177c71e6dbb61778635c4645fdfe44a108","1","No"
"0x90978f422ccf585e58016b64748c3af9f08ef74a","150.016873439196","No"
"0x90a5b5735e8823b350ccfabcd9db7e49e07bf92f","9.84437962050363","No"
"0x931e676e543f80b84f6874d182ade7130178ae05","3.68135094354044","No"
"0x94804bda47effeaecfb8ce1c4b35d5f9bc7738e0","1.3760579912506E-05","No"
"0x99c68a628f4397c014cd2096ce564f711c404831","5.4284154296E-07","No"
"0x9ac9c636404c8d46d9eb966d7179983ba5a3941a","1164.38381762668","No"
"0x9de0bbb3d6401c70c105e985124bb2c0d91ca0d2","1.240146204919E-05","No"
"0xa2815a82484f09796e92b917b20a81ca7bf2786b","71.2588490865729","No"
"0xa36d30fc6fd9b6e23e2285474cdcb9096a72840c","19.9987577577063","No"
"0xa45e2719a23e8bc2f5f2f528ea67fe3ee255487f","110.708960799529","No"
"0xab1dc4b2eeeecc9d98ca8cc5e96847a0b79cd24c","9.9483441593393E-05","No"
"0xb2d79ffb84b336f1e59b347bf22bef005ae8576f","101.900300880804","No"
"0xb6b973dee5fc6756a210e32a4a687d28d1d625dc","30.6360898197222","No"
"0xba117843e0bb845a7bc8b37f0d83ee8224ce0afc","8.8127646697488E-05","No"
"0xba9223c88150f3cbe4e1f083c5a188901fddbbc0","1.40067328288887","No"
"0xbbceabf8cd068bc19fdcb0bf98a607b414ad081b","7.9349912874999E-05","No"
"0xc011ce1fd6f975ee6424a8c235f73082a08fc3f1","72.3271316991346","No"
"0xc127c110ceade7370c8b327287f2a669ec7e93ba","1","No"
"0xc330440814443d4774ba112819392c366f1bd978","10.0417263524606","No"
"0xc442969e7e56df73c173d4b97e56a37054f48aae","1.07161775780641","No"
"0xc698d04f0d0e0a8fe0d5fc9a74cc0c0cd0f37a1d","110.703326580991","No"
"0xce9c2a473ea468a374ebb9d2bb9a1996793ad29e","8.9886855122188E-05","No"
"0xcea5e66bec5193e5ec0b049a3fe5d7dd896fd480","1000.00953878479","No"
"0xd1da2d5a00766cb0bf5d62b83915d666bb44cb70","1860.54311933438","No"
"0xdacb11dc1a7598c602b08f6389046678517529c6","3.36991410419717","No"
"0xdadac68f07a1d73f388d2f50494397715409ee0c","3.2088273670658E-05","No"
"0xdd7d7d2c621ec68b098671ff08045db49b503e68","1.9667122097322E-05","No"
"0xddf767f258adf0af89896621349cadcf8722f771","1.3233327401425E-05","No"
"0xe17d3360d6d22c3bdea3145c9bb171ac21e6ab5a","4.73060893","No"
"0xe5d4382b7c97c085ede3f12662445f0686a92bc8","21.2353469964968","No"
"0xe860534f225ef4e66626ce41d8a3ed13ab291371","2.025039159178E-05","No"
"0xe9e3c7742d00cf228e8cff239e99604fd83f865e","2.282682554644E-06","No"
"0xef26a2bc1c4488a5c9c21c37e522c028837faaf0","2.2863057308008E-05","No"
"0xf3bfa02c5f468410a415f63737aaa4ffa4060c92","74.1436060547637","No"
"0xf62af1ae0aa967ee61d36f26dae2a79f0de929d4","980.047516820091","No"
"0xff3331e99eed0ab6746ee9aa12be0f2385d0577b","3.79817655397E-05","No"
